"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4518","has title","chromium","Thu Jul 03 12:02:18 GMT+06:00 2025","passed","Thu Jul 03 12:02:23 GMT+06:00 2025","","example.spec.js","",""
"","344","Create query parameters","chromium","Thu Jul 03 12:02:23 GMT+06:00 2025","passed","Thu Jul 03 12:02:23 GMT+06:00 2025","","query_parameters.spec.js","",""
"","381","Create POST api Request Using dynamic data","chromium","Thu Jul 03 12:02:22 GMT+06:00 2025","failed","Thu Jul 03 12:02:22 GMT+06:00 2025","","post_api_request_04.spec.js","",""
"","411","Create POST api Request Using dynamic data","webkit","Thu Jul 03 12:02:57 GMT+06:00 2025","passed","Thu Jul 03 12:02:58 GMT+06:00 2025","","post_api_request_03.spec.js","",""
"","384","Create POST api Request Using dynamic data","firefox","Thu Jul 03 12:02:31 GMT+06:00 2025","passed","Thu Jul 03 12:02:31 GMT+06:00 2025","","post_api_request_03.spec.js","",""
"","2031","Create POST api Request Using request body","webkit","Thu Jul 03 12:02:59 GMT+06:00 2025","passed","Thu Jul 03 12:03:01 GMT+06:00 2025","","post_api_request_01.spec.js","",""
"","2937","Create DELETE api Request Using dynamic data","chromium","Thu Jul 03 12:02:18 GMT+06:00 2025","passed","Thu Jul 03 12:02:21 GMT+06:00 2025","","end_to_end_testing_09.spec.js","",""
"","16724","has title","firefox","Thu Jul 03 12:02:27 GMT+06:00 2025","passed","Thu Jul 03 12:02:44 GMT+06:00 2025","","example.spec.js","",""
"","1364","Create PATCH api Request Using dynamic data","chromium","Thu Jul 03 12:02:20 GMT+06:00 2025","passed","Thu Jul 03 12:02:21 GMT+06:00 2025","","patch_api_request.spec.js","",""
"","9143","get started link","webkit","Thu Jul 03 12:02:38 GMT+06:00 2025","failed","Thu Jul 03 12:02:47 GMT+06:00 2025","","example.spec.js","",""
"","1356","Create PATCH api Request Using dynamic data","firefox","Thu Jul 03 12:02:29 GMT+06:00 2025","passed","Thu Jul 03 12:02:31 GMT+06:00 2025","","patch_api_request.spec.js","",""
"","366","Create query parameters","firefox","Thu Jul 03 12:02:33 GMT+06:00 2025","passed","Thu Jul 03 12:02:34 GMT+06:00 2025","","query_parameters.spec.js","",""
"","2913","Create DELETE api Request Using dynamic data","webkit","Thu Jul 03 12:02:35 GMT+06:00 2025","passed","Thu Jul 03 12:02:38 GMT+06:00 2025","","end_to_end_testing_09.spec.js","",""
"","14425","get started link","firefox","Thu Jul 03 12:02:30 GMT+06:00 2025","failed","Thu Jul 03 12:02:45 GMT+06:00 2025","","example.spec.js","",""
"","2521","Create PUT api Request Using dynamic data","chromium","Thu Jul 03 12:02:25 GMT+06:00 2025","passed","Thu Jul 03 12:02:28 GMT+06:00 2025","","put_api_request.spec.js","",""
"","9176","get started link","chromium","Thu Jul 03 12:02:18 GMT+06:00 2025","passed","Thu Jul 03 12:02:27 GMT+06:00 2025","","example.spec.js","",""
"","717","Create GET api Request Using dynamic data","firefox","Thu Jul 03 12:02:29 GMT+06:00 2025","passed","Thu Jul 03 12:02:29 GMT+06:00 2025","","get_api_request.spec.js","",""
"","361","Create POST api Request Using request body","chromium","Thu Jul 03 12:02:21 GMT+06:00 2025","passed","Thu Jul 03 12:02:21 GMT+06:00 2025","","post_api_request_01.spec.js","",""
"","2462","Create PUT api Request Using dynamic data","firefox","Thu Jul 03 12:02:33 GMT+06:00 2025","passed","Thu Jul 03 12:02:36 GMT+06:00 2025","","put_api_request.spec.js","",""
"","364","Create POST api Request Using dynamic data","webkit","Thu Jul 03 12:02:58 GMT+06:00 2025","failed","Thu Jul 03 12:02:58 GMT+06:00 2025","","post_api_request_04.spec.js","",""
"","3466","Create PUT api Request Using dynamic data","webkit","Thu Jul 03 12:03:01 GMT+06:00 2025","passed","Thu Jul 03 12:03:04 GMT+06:00 2025","","put_api_request.spec.js","",""
"","2083","Create GET api Request Using dynamic data","webkit","Thu Jul 03 12:02:55 GMT+06:00 2025","passed","Thu Jul 03 12:02:57 GMT+06:00 2025","","get_api_request.spec.js","",""
"","362","Create POST api Request Using static json file","firefox","Thu Jul 03 12:02:31 GMT+06:00 2025","passed","Thu Jul 03 12:02:31 GMT+06:00 2025","","post_api_request_02.spec.js","",""
"","391","Create POST api Request Using static json file","chromium","Thu Jul 03 12:02:21 GMT+06:00 2025","passed","Thu Jul 03 12:02:22 GMT+06:00 2025","","post_api_request_02.spec.js","",""
"","10091","has title","webkit","Thu Jul 03 12:02:39 GMT+06:00 2025","failed","Thu Jul 03 12:02:49 GMT+06:00 2025","","example.spec.js","",""
"","363","Create query parameters","webkit","Thu Jul 03 12:02:59 GMT+06:00 2025","passed","Thu Jul 03 12:02:59 GMT+06:00 2025","","query_parameters.spec.js","",""
"","369","Create POST api Request Using static json file","webkit","Thu Jul 03 12:02:57 GMT+06:00 2025","passed","Thu Jul 03 12:02:57 GMT+06:00 2025","","post_api_request_02.spec.js","",""
"","1455","Create POST api Request Using request body","firefox","Thu Jul 03 12:02:32 GMT+06:00 2025","passed","Thu Jul 03 12:02:33 GMT+06:00 2025","","post_api_request_01.spec.js","",""
"","349","Create POST api Request Using dynamic data","firefox","Thu Jul 03 12:02:31 GMT+06:00 2025","failed","Thu Jul 03 12:02:32 GMT+06:00 2025","","post_api_request_04.spec.js","",""
"","2650","Create PATCH api Request Using dynamic data","webkit","Thu Jul 03 12:02:56 GMT+06:00 2025","passed","Thu Jul 03 12:02:59 GMT+06:00 2025","","patch_api_request.spec.js","",""
"","1949","Create GET api Request Using dynamic data","chromium","Thu Jul 03 12:04:10 GMT+06:00 2025","passed","Thu Jul 03 12:04:11 GMT+06:00 2025","","get_api_request.spec.js","",""
"","2790","Create DELETE api Request Using dynamic data","firefox","Thu Jul 03 12:02:26 GMT+06:00 2025","passed","Thu Jul 03 12:02:28 GMT+06:00 2025","","end_to_end_testing_09.spec.js","",""
"","1215","Create POST api Request Using dynamic data","chromium","Thu Jul 03 12:02:21 GMT+06:00 2025","passed","Thu Jul 03 12:02:23 GMT+06:00 2025","","post_api_request_03.spec.js","",""
